*author: ADAMCZYK
*reference: PRL 115,222301 : 2015
*reference: ARXIV:1505.07812 : 2015
*doi: 10.1103/PhysRevLett.115.222301
*status: Encoded 03 MAR 2016 by <Encoder Name>
*title: Azimuthal anisotropy in U+U and Au+Au collisions at RHIC
*comment: BNL-RHIC.  Collisions between prolate uranium nuclei are used to study how particle production and azimuthal anisotropies depend on initial geometry in heavy-ion collisions. We report the two- and four-particle cumulants, $v_2\{2\}$ and $v_2\{4\}$, for charged hadrons from U+U collisions at $\sqrt{s_{\rm NN}}$ = 193 GeV and Au+Au collisions at $\sqrt{s_{\rm NN}}$ = 200 GeV. Nearly fully overlapping collisions are selected based on the amount of energy deposited by spectators in the STAR Zero Degree Calorimeters (ZDCs). Within this sample, the observed dependence of $v_2\{2\}$ on multiplicity demonstrates that ZDC information combined with multiplicity can preferentially select different overlap configurations in U+U collisions. An initial-state model with gluon saturation describes the slope of $v_2\{2\}$ as a function of multiplicity in central collisions better than one based on Glauber with a two-component multiplicity model
*durhamId:
*inspireId: 1373553
*cdsId: 
*detector: STAR
*experiment: BNL-RHIC-STAR
*dataset:
*location: 
*dscomment: 
*obskey: SIG
*reackey: U+U
*qual: U+U: v2{2}
*xheader: Corrected Multiplicity
*yheader: v2
*data: x : y
557.0; 0.0178 +- 0.000331
572.0; 0.0155 +- 0.000449
586.0; 0.0117 +- 0.000919
601.0; 0.00661 +- 0.00462
*dataset:
*location: 
*dscomment: 
*obskey: SIG
*reackey: U+U
*qual: U+U: v2{4}^4 x10^8
*xheader: Corrected Multiplicity
*yheader: v2
*data: x : y
27.8; 224.0 +- 59.7
39.0; 555.0 +- 37.1
50.1; 801.0 +- 28.8
61.3; 989.0 +- 24.4
72.5; 1170.0 +- 22.0
83.8; 1330.0 +- 20.6
95.1; 1470.0 +- 19.4
106.0; 1570.0 +- 18.5
118.0; 1650.0 +- 17.7
129.0; 1720.0 +- 17.0
141.0; 1770.0 +- 16.4
152.0; 1810.0 +- 15.7
164.0; 1810.0 +- 15.2
175.0; 1800.0 +- 14.7
187.0; 1790.0 +- 14.0
198.0; 1740.0 +- 13.4
210.0; 1700.0 +- 12.8
222.0; 1660.0 +- 12.2
234.0; 1590.0 +- 11.7
246.0; 1520.0 +- 11.2
258.0; 1450.0 +- 10.7
270.0; 1370.0 +- 10.0
282.0; 1300.0 +- 9.58
294.0; 1230.0 +- 9.07
306.0; 1140.0 +- 8.58
319.0; 1060.0 +- 8.17
331.0; 987.0 +- 7.72
344.0; 903.0 +- 7.36
356.0; 832.0 +- 6.92
369.0; 758.0 +- 6.52
382.0; 689.0 +- 6.11
395.0; 622.0 +- 5.73
409.0; 558.0 +- 5.37
422.0; 498.0 +- 5.07
435.0; 446.0 +- 4.65
449.0; 392.0 +- 4.26
463.0; 341.0 +- 3.96
477.0; 296.0 +- 3.65
491.0; 254.0 +- 3.37
505.0; 215.0 +- 3.1
520.0; 182.0 +- 2.82
535.0; 152.0 +- 2.53
550.0; 126.0 +- 2.35
565.0; 100.0 +- 2.11
580.0; 79.8 +- 1.9
596.0; 60.7 +- 1.72
612.0; 47.2 +- 1.55
628.0; 34.0 +- 1.39
644.0; 23.7 +- 1.31
661.0; 17.4 +- 1.11
678.0; 11.3 +- 0.996
696.0; 7.82 +- 0.894
713.0; 4.2 +- 0.815
732.0; 2.78 +- 0.763
750.0; 1.97 +- 0.711
769.0; 2.29 +- 0.692
788.0; 2.43 +- 0.692
808.0; 1.92 +- 0.736
828.0; 1.19 +- 0.808
849.0; 1.99 +- 0.929
870.0; 2.28 +- 1.1
892.0; -0.165 +- 1.44
914.0; 3.6 +- 1.82
932.0; -2.3 +- 2.66
947.0; 4.92 +- 3.84
*dataset:
*location: 
*dscomment: 
*obskey: SIG
*reackey: Au+Au
*qual: Au+Au: v2{4}^4 x10^8
*xheader: Corrected Multiplicity
*yheader: v2
*data: x : y
16.7; -682.0 +- 175.0
27.8; 258.0 +- 61.9
39.0; 555.0 +- 44.5
50.1; 836.0 +- 38.8
61.3; 940.0 +- 35.9
72.5; 1130.0 +- 35.7
83.8; 1310.0 +- 34.9
95.1; 1370.0 +- 35.6
106.0; 1430.0 +- 36.1
118.0; 1550.0 +- 34.7
129.0; 1570.0 +- 33.7
